formatted_address,latitude,longitude,google_place_id,input_string
Hessa St - Dubai - United Arab Emirates,25.0593353,55.221495,ChIJtTwQgWtsXz4RKyWcyj5liQs,"DUNES Nadd Hessa Dubai , UAE"
Palm Jumeirah - The Palm Jumeirah - Dubai - United Arab Emirates,25.1160305,55.1376098,ChIJ__7J2CprXz4Rpr-7T-I-gkE,"Marina Apartments 2 Palm Jumeirah Dubai , UAE"
Dubai - Dubai Sports City - Dubai - United Arab Emirates,25.0419529,55.2054674,ChIJhzlDvMdtXz4Ruvnt_uBZpV8,"Tennis Tower Al Hebiah Fourth Dubai , UAE"
Golf Course Dr - Dubai Sports City - Dubai - United Arab Emirates,25.0403829,55.2049614,ChIJJztnc8dtXz4Rk_wFc_ysNmk,"Golf Tower Al Hebiah Fourth Dubai , UAE"
Marina Residence 1 - The Palm Jumeirah - Dubai - United Arab Emirates,25.1129973,55.1366911,ChIJt8z9WNMUXz4RUyUwew8xjbg,"Marina Apartments 1 Palm Jumeirah Dubai , UAE"
Marina Residence 5 - The Palm Jumeirah - Dubai - United Arab Emirates,25.1162081,55.1385705,ChIJFYZOJitrXz4RKzlUBOfExOs,"Marina Apartments 5 Palm Jumeirah Dubai , UAE"
Hessa St - Dubai - United Arab Emirates,25.0593353,55.221495,ChIJtTwQgWtsXz4RKyWcyj5liQs,"PALACE TOWERS T1 Nadd Hessa Dubai , UAE"
Cluster F - Jumeirah Lakes Towers - Dubai - United Arab Emirates,25.0724653,55.142873,ChIJK7VwG6xsXz4RtS73_waqmtw,"Indigo Icon Al Thanyah Fifth Dubai , UAE"
"Downtown Dubai, Near Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates",25.2003895,55.2720207,ChIJOz3zxYBCXz4R8M1QxVm7Nhg,"Emaar Square Bldg 3 Burj Khalifa Dubai , UAE"
Business Bay - Dubai - United Arab Emirates,25.188871,55.264103,ChIJJwS0WBNpXz4Rj5-a-PWDvmo,"WEST HEIGHTS 1 Business Bay Dubai , UAE"
Business Bay - Dubai - United Arab Emirates,25.188871,55.264103,ChIJJwS0WBNpXz4Rj5-a-PWDvmo,"WEST HEIGHTS 3 Business Bay Dubai , UAE"
Palace Towers - Dubai Silicon Oasis - Dubai - United Arab Emirates,25.1165068,55.3899754,ChIJVVVVSm5kXz4R0ioNFv5s4KE,"PALACE TOWER T2 Nadd Hessa Dubai , UAE"
Reef Tower - Jumeirah Lakes Towers - Dubai - United Arab Emirates,25.0739867,55.1433313,ChIJwxCTVqlsXz4RCgYKi7zN5wg,"REEF TOWER Al Thanyah Fifth Dubai , UAE"
1 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates,25.197197,55.2743764,ChIJS-JnijRDXz4R4rfO4QLlRf8,"AL SAAHA Burj Khalifa Dubai , UAE"
Dubai - Business Bay - Dubai - United Arab Emirates,25.1917345,55.266157,ChIJIXPWtNVpXz4RxmR4hb-if7o,"EAST HEIGHTS 2 Business Bay Dubai , UAE"
Business Bay - Dubai - United Arab Emirates,25.188871,55.264103,ChIJJwS0WBNpXz4Rj5-a-PWDvmo,"WEST HEIGHTS 5 Business Bay Dubai , UAE"
Palm Jumeirah - The Palm Jumeirah - Dubai - United Arab Emirates,25.1160305,55.1376098,ChIJ__7J2CprXz4Rpr-7T-I-gkE,"Marina Apartments 6 Palm Jumeirah Dubai , UAE"
Dubai - Business Bay - Dubai - United Arab Emirates,25.1920788,55.2663564,ChIJ5yjTt9VpXz4R1EqZUkOjiWg,"ASPECT TOWER Business Bay Dubai , UAE"
Dubai - Dubai Marina - Dubai - United Arab Emirates,25.0697205,55.1342225,ChIJ66zgolMTXz4RBxOQBbQJupY,"MARINA PEARL Marsa Dubai Dubai , UAE"
Palm Jumeirah - The Palm Jumeirah - Dubai - United Arab Emirates,25.1160305,55.1376098,ChIJ__7J2CprXz4Rpr-7T-I-gkE,"Marina Apartments 4 Palm Jumeirah Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"C14 Al Warsan First Dubai , UAE"
Dubai - Jumeirah Lakes Towers - Dubai - United Arab Emirates,25.0654399,55.1402045,ChIJA4fDU7JsXz4RUaszHFClzLw,"ICON TOWER Al Thanyah First Dubai , UAE"
Dubai - Jumeirah Village - Dubai - United Arab Emirates,25.0631701,55.2150462,ChIJt0hOIS5sXz4RF1WMubxsgVM,"DIAMOND VIEWS 2 Al Barsha South Fourth Dubai , UAE"
"Emaar Business Park,Sheikh Zayed Road,The Greens - Dubai - United Arab Emirates",25.0953827,55.1668602,ChIJwwF4YW9rXz4RXOWN01TOpLA,"CANCELLED-Emaar Business Park Building 3 Al Thanyah Third Dubai , UAE"
"downtown dubai, beside dubai mall - Downtown Dubai - Dubai - United Arab Emirates",25.2004719,55.2721287,ChIJQ3Cm2YZCXz4RwxPSiJU5vWc,"Emaar Square Bldg 1 Burj Khalifa Dubai , UAE"
"downtown dubai, beside dubai mall - Downtown Dubai - Dubai - United Arab Emirates",25.2004719,55.2721287,ChIJQ3Cm2YZCXz4RwxPSiJU5vWc,"Emaar Square Bldg 2 Burj Khalifa Dubai , UAE"
Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates,25.2006747,55.2740206,ChIJKw_l5ShoXz4RvxTTjwWpdTU,"Emaar Square Bldg 4 Burj Khalifa Dubai , UAE"
Royal Residences - International City - Dubai - United Arab Emirates,25.1666851,55.4096144,ChIJMwGAQElhXz4R-dxVjMJI_6g,"LADY RATAN MANOR Al Warsan First Dubai , UAE"
Emaar Towers - DeiraRiggat Al Buteen - Dubai - United Arab Emirates,25.257736,55.3247098,ChIJ5fTTl9BcXz4RwZ0NYHwrXOA,"EMAAR TOWER 2 Rega Al Buteen Dubai , UAE"
Emaar Towers - DeiraRiggat Al Buteen - Dubai - United Arab Emirates,25.257736,55.3247098,ChIJ5fTTl9BcXz4RwZ0NYHwrXOA,"EMAAR TOWER 1 Rega Al Buteen Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"Z03 Al Warsan First Dubai , UAE"
Emaar Blvd - وسط مدينة دبي - دبي - United Arab Emirates,25.2007339,55.2748477,ChIJhW4TQ4FCXz4Rcm9XOZlqROY,"Emaar Square Bldg 5 Burj Khalifa Dubai , UAE"
"Unit No. 1405, Fourteen Floor Fortune Executive Tower T1, Cluster T Street Jumeirah Lake Tower (JLT n front of Damac Metro Station JLT Exit, Al Thanyah 5 - 393 - Jumeirah Lakes Towers - Dubai - United Arab Emirates",25.0791402,55.1493067,ChIJRxHg56dsXz4RrSELvzFRIJk,"Fortune Executive Tower Al Thanyah Fifth Dubai , UAE"
