latitude,longitude,google_place_id,area_name_en,nlat,nlng,slat,slng,type
25.264223,55.2870533,ChIJKUeygWtDXz4RBsAjXltOFnk,Shandagha West,25.26557198,55.28840228,25.26287402,55.28570432,Viewport
25.2858687,55.3281742,ChIJpSBFmqRcXz4RqJl3Ey1H7bo,Abu Hail,25.2920432,55.3380231,25.2791606,55.3225943,Bound
25.2196159,55.4194753,ChIJn5OI6L1gXz4RhvaoJpnARSI,Mirdif,25.2353532,55.4427513,25.207256,55.4045009,Bound
25.2712259,55.4042518,ChIJa8HS1X9eXz4RNQdllG6rThQ,Al-Muhaisnah North,25.2805607,55.414324,25.2647661,55.3964707,Bound
25.2327717,55.5081012,ChIJ0-y8Xu2K9T4RzbKnr6DHFyE,Al Khawaneej,25.2672852,55.5647279,25.1919715,55.4647778,Bound
25.2289254,55.3668963,ChIJ4Xj_x4RdXz4RPgFS2Ms3b94,Um Ramool,25.2409592,55.3769972,25.2182199,55.3527267,Bound
25.2400295,55.350299,ChIJ3alnGgxdXz4RD9GT002aYeE,Al Garhoud,25.256579,55.3685577,25.2301056,55.3358503,Bound
25.1784957,55.545002,ChIJz0ZOqr2J9T4RwbPmEd0F-fU,Al-Aweer,25.2135808,55.6170349,25.1295889,55.4933294,Bound
25.2491579,55.4526995,ChIJ9VEPyipeXz4REwWHVoMWXFo,Al Mezhar,25.2585026,55.4693829,25.2290427,55.4243414,Bound
25.2513145,55.3295568,ChIJn8kCaSZdXz4Rkuc9hXqlJaQ,Port Saeed,25.2674997,55.3410004,25.2345586,55.3023485,Bound
25.2727965,55.2988055,ChIJZa5W3EZDXz4RObPzapqA6JM,Al-Shumaal,25.27414548,55.30015448,25.27144752,55.29745652,Viewport
25.2259063,55.3857068,ChIJtV8jV19nXz4RE2buhvott5Q,Nad Rashid,25.22725528,55.38705578,25.22455732,55.38435782,Viewport
25.2620038,55.3793463,ChIJRZH098ldXz4R7m8FjFJY1R8,Al-Tawar,25.2669386,55.3885289,25.2554692,55.3744946,Bound
25.27197,55.315505,ChIJjQodIbVcXz4R9UeWJ-i-dwQ,Burj Nahar,25.27331898,55.31685398,25.27062102,55.31415602,Viewport
25.2819897,55.3184964,ChIJqQ31v61cXz4RgjC814Bg3iU,Al Baraha,25.287377,55.3270357,25.2762896,55.3100627,Bound
25.2580614,55.3233351,ChIJJ6W7_NFcXz4R4NqmeXOLQqc,Al Buteen,25.2644471,55.3259414,25.2529544,55.3121148,Bound
25.260368,55.294828,ChIJm-IdXz5DXz4RtI2KzlcAYeI,Al Baharna,25.26171698,55.29617698,25.25901902,55.29347902,Viewport
25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0,Al-Safiyyah,25.3585607,55.5650393,24.7921359,54.8904543,Bound
25.2675792,55.3129667,ChIJ9wUnw8xcXz4RmOMJPxUb2Qs,Al-Riqqa West,25.2700019,55.3161406,25.2628802,55.303427,Bound
25.2675792,55.3129667,ChIJ9wUnw8xcXz4RmOMJPxUb2Qs,Al-Riqqa East,25.2700019,55.3161406,25.2628802,55.303427,Bound
25.2728322,55.3037969,ChIJhzlmRU9DXz4RqaJv3-xLptU,Eyal Nasser,25.2829218,55.3198043,25.2627418,55.2877895,Viewport
25.2687811,55.2956887,ChIJI36uAERDXz4RFyw5ZZakrtY,Al Ras,25.2724467,55.2985132,25.2658977,55.2924622,Bound
25.2744537,55.308914,ChIJyebk9ExDXz4Rq1PjJcw2IpE,Naif North,25.277371,55.3157315,25.2710903,55.3019083,Bound
25.2077215,55.4526995,ChIJO8rQHPhgXz4Rxt7GsgwaQ_4,Mushrif,25.2323905,55.4655933,25.1897191,55.42727,Bound
25.2625115,55.3264617,ChIJSVtQSsVcXz4RUQrBaRdPoXk,Al-Zarouniyyah,25.26386048,55.32781068,25.26116252,55.32511272,Viewport
25.278793,55.312187,ChIJQxDofE1DXz4RRUTuaQrq0k4,Al-Murar Jadeed,25.28014198,55.31353598,25.27744402,55.31083802,Viewport
25.2919567,55.365513,ChIJ6W0X2mVcXz4R9MntE5k8ZzA,Al-Nahdah,25.2999717,55.3788298,25.2784301,55.3566621,Bound
25.2776458,55.3526907,ChIJG_KCZPNcXz4RHPyaUVqs1pc,Al-Qiyadah,25.27899478,55.35403968,25.27629682,55.35134172,Viewport
25.2744537,55.308914,ChIJyebk9ExDXz4Rq1PjJcw2IpE,Naif South,25.277371,55.3157315,25.2710903,55.3019083,Bound
25.272632,55.3004654,ChIJoSRZTURDXz4RwtgVfjG1u5A,Al Dhagaya,25.2827216,55.3164728,25.2625416,55.284458,Viewport
25.2763552,55.3095108,ChIJxeYOxE1DXz4RUWzXGXkGwrg,Al-Murar Qadeem,25.279102,55.3149283,25.2736789,55.3052079,Bound
25.2653598,55.3240264,ChIJ31m8MM9cXz4RbZ95ojmz9eE,Al Murqabat,25.2704093,55.3303779,25.2589554,55.314542,Bound
25.2693568,55.2972949,ChIJ9QG6UUFDXz4R3DlTWyRvGQI,Sikkat Al Khail North,25.27070578,55.29864388,25.26800782,55.29594592,Viewport
25.2693568,55.2972949,ChIJ9QG6UUFDXz4R3DlTWyRvGQI,Sikkat Al Khail South,25.27070578,55.29864388,25.26800782,55.29594592,Viewport
25.2740443,55.3226439,ChIJA6zk_bZcXz4RbmdfpFYiSnE,Al Muteena,25.2785203,55.3302327,25.2701967,55.3152337,Bound
25.262408,55.2936155,ChIJUQEswz9DXz4RKDSqlMS1gMI,Al-Souq Al Kabeer (Deira),25.2655485,55.30141,25.2584654,55.2846621,Bound
25.259933,55.3227684,ChIJy7cSNdBcXz4RAd-ZDDeUvPE,Rega Al Buteen,25.26128198,55.32411738,25.25858402,55.32141942,Viewport
25.273365,55.3065221,ChIJVwkIAE9DXz4RYHYBHCIFyfU,Al-Musalla (Deira),25.2771867,55.3081285,25.2690117,55.3046728,Bound
25.2711827,55.2998351,ChIJOyXWK0RDXz4RXZGmwSrPEhk,Al Sabkha,25.2751244,55.3034378,25.2673239,55.2965283,Bound
25.2666503,55.3337049,ChIJ0Wf4BulcXz4RHuR0ki2ZbYo,Al Khabeesi,25.2756118,55.3484843,25.2567343,55.3270593,Bound
25.1379374,55.2602406,ChIJe1YtAy5pXz4RSJEY4m2Z02Y,Al-Mustashfa West,25.2315297,55.350299,25.0402689,55.1927835,Bound
25.2717156,55.311987,ChIJhUULHktDXz4RB18Z_hh5Lvs,Al-Nakhal,25.2724751,55.3164227,25.2699816,55.3074373,Bound
25.2643559,55.2998811,ChIJpUWZXTdDXz4R_lcmpwt-qFQ,Al-Bastakiyah,25.26570488,55.30123008,25.26300692,55.29853212,Viewport
25.1885455,55.4194753,ChIJaeiExyFhXz4RHkmcUFVE2B8,Al Warqa Third,25.2083837,55.438642,25.1745677,55.4087442,Bound
25.214542,55.3790933,ChIJNWH13GdnXz4Rmk2f4AatCM0,Al Nahda Second,25.21589098,55.38044228,25.21319302,55.37774432,Viewport
25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0,Al-Dzahiyyah Al-Jadeedah,25.3585607,55.5650393,24.7921359,54.8904543,Bound
25.2271961,55.3618108,ChIJO_TGroNdXz4RW-dUOnfE2c0,Al-Baloosh,25.22854508,55.36315978,25.22584712,55.36046182,Viewport
25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0,Muashrah Al Bahraana,25.3585607,55.5650393,24.7921359,54.8904543,Bound
25.0921296,55.1707232,ChIJW_mB4JhsXz4RMegq0hjT274,Al Barsha Third,25.0941481,55.1731144,25.065841,55.1558645,Bound
25.2070628,55.4066619,ChIJ5eB0lstgXz4R30CEfMD4qU4,Al Warqa Second,25.20841178,55.40801088,25.20571382,55.40531292,Viewport
